METHOD|FULL_PATH|AUTH|CONTROLLER|SOURCE_FILE
GET|/api-docs|public (non-prod or ENABLE_SWAGGER=true)|swaggerUi.setup|src/app.ts
GET|/api-docs/|public (non-prod or ENABLE_SWAGGER=true)|swaggerUi.setup|src/app.ts
POST|/api/payment/callback|customer JWT (Bearer)|paymentCallback|src/modules/payments/payment-api.routes.ts
POST|/api/payment/initiate|customer JWT (Bearer)|initiateStandalonePayment|src/modules/payments/payment-api.routes.ts
GET|/api/payment/status/:orderId|customer JWT (Bearer)|getPaymentStatus|src/modules/payments/payment-api.routes.ts
POST|/api/payment/transaction-status|public|getTransactionStatusPostTxn|src/modules/payments/payment-api.routes.ts
GET|/api/v1/admin/access-logs|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.COMPLIANCE_AUDIT_READ|activityLogsController.getAccessLogs|src/modules/admin/activity-logs.routes.ts
GET|/api/v1/admin/analytics/categories|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getCategoryAnalytics|src/modules/admin/analytics.routes.ts
POST|/api/v1/admin/analytics/custom-report|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.createCustomReport|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/customers|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getCustomerMetrics|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/export|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.exportReport|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/financial-summary|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getFinancialSummary|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/funnel|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ|controller.getConversionFunnel|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/growth|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getGrowthTrends|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/inventory-health|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ|controller.getInventoryHealth|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/operational|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getOperationalMetrics|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/orders-by-hour|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getOrdersByHour|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/payment-methods|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getPaymentMethods|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/peak-hours|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getPeakHours|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/picker-drilldown/:pickerId|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getPickerDrilldown|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/pickers|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ|controller.getPickerAnalytics|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/products|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getProductPerformance|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/realtime|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getRealtimeMetrics|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/regional|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getRegionalPerformance|src/modules/admin/analytics.routes.ts
GET|/api/v1/admin/analytics/revenue|admin JWT (Bearer or cookie selorg_admin_token); roles: admin, super_admin; perm: PERMISSIONS.ANALYTICS_REPORTS_READ; zod|controller.getRevenueBreakdown|src/modules/admin/analytics.routes.ts
