METHOD	FULL_PATH	MODULE	AUTH	ROLE	CONTROLLER_HANDLER	SERVICE	NOTES
POST	/api/payment/callback	payments	yes	customer-jwt	paymentCallback	payment-api.service	-
POST	/api/payment/initiate	payments	yes	customer-jwt	initiateStandalonePayment	payment-api.service	-
GET	/api/payment/status/:orderId	payments	yes	customer-jwt	getPaymentStatus	payment-api.service	-
POST	/api/payment/transaction-status	payments	no	-	getTransactionStatusPostTxn	payment-api.service	-
GET	/api/v1/admin/analytics/categories	admin	yes	admin|super_admin	controller.getCategoryAnalytics	analytics.service	analytics.routes.ts
POST	/api/v1/admin/analytics/custom-report	admin	yes	admin|super_admin	controller.createCustomReport	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/customers	admin	yes	admin|super_admin	controller.getCustomerMetrics	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/export	admin	yes	admin|super_admin	controller.exportReport	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/financial-summary	admin	yes	admin|super_admin	controller.getFinancialSummary	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/funnel	admin	yes	admin|super_admin	controller.getConversionFunnel	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/growth	admin	yes	admin|super_admin	controller.getGrowthTrends	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/inventory-health	admin	yes	admin|super_admin	controller.getInventoryHealth	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/operational	admin	yes	admin|super_admin	controller.getOperationalMetrics	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/orders-by-hour	admin	yes	admin|super_admin	controller.getOrdersByHour	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/payment-methods	admin	yes	admin|super_admin	controller.getPaymentMethods	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/peak-hours	admin	yes	admin|super_admin	controller.getPeakHours	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/picker-drilldown/:pickerId	admin	yes	admin|super_admin	controller.getPickerDrilldown	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/pickers	admin	yes	admin|super_admin	controller.getPickerAnalytics	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/products	admin	yes	admin|super_admin	controller.getProductPerformance	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/realtime	admin	yes	admin|super_admin	controller.getRealtimeMetrics	analytics.service	analytics.routes.ts
